rtlmp,datetime,hour
35.91,2019-01-01T01:00:00Z,1
32.46,2019-01-01T02:00:00Z,2
34.6,2019-01-01T03:00:00Z,3
35.11,2019-01-01T04:00:00Z,4
35.3,2019-01-01T05:00:00Z,5
35.3,2019-01-01T06:00:00Z,6
37.99,2019-01-01T07:00:00Z,7
33.04,2019-01-01T08:00:00Z,8
26.4,2019-01-01T09:00:00Z,9
16.76,2019-01-01T10:00:00Z,10
17.83,2019-01-01T11:00:00Z,11
15.28,2019-01-01T12:00:00Z,12
3.28,2019-01-01T13:00:00Z,13
12.45,2019-01-01T14:00:00Z,14
11.92,2019-01-01T15:00:00Z,15
27.97,2019-01-01T16:00:00Z,16
53.49,2019-01-01T17:00:00Z,17
54.71,2019-01-01T18:00:00Z,18
39.88,2019-01-01T19:00:00Z,19
40.45,2019-01-01T20:00:00Z,20
49.33,2019-01-01T21:00:00Z,21
56.36,2019-01-01T22:00:00Z,22
45.53,2019-01-01T23:00:00Z,23
44.05,2019-01-02T00:00:00Z,0
38.18,2019-01-02T01:00:00Z,1
35.76,2019-01-02T02:00:00Z,2
41.89,2019-01-02T03:00:00Z,3
41.22,2019-01-02T04:00:00Z,4
43.56,2019-01-02T05:00:00Z,5
52.09,2019-01-02T06:00:00Z,6
60.22,2019-01-02T07:00:00Z,7
43.63,2019-01-02T08:00:00Z,8
33.94,2019-01-02T09:00:00Z,9
29.83,2019-01-02T10:00:00Z,10
26.65,2019-01-02T11:00:00Z,11
29.14,2019-01-02T12:00:00Z,12
29.6,2019-01-02T13:00:00Z,13
24.6,2019-01-02T14:00:00Z,14
26.64,2019-01-02T15:00:00Z,15
33.83,2019-01-02T16:00:00Z,16
41.58,2019-01-02T17:00:00Z,17
71.12,2019-01-02T18:00:00Z,18
64.49,2019-01-02T19:00:00Z,19
45.05,2019-01-02T20:00:00Z,20
41.96,2019-01-02T21:00:00Z,21
45.53,2019-01-02T22:00:00Z,22
42.34,2019-01-02T23:00:00Z,23
41.06,2019-01-03T00:00:00Z,0
39.5,2019-01-03T01:00:00Z,1
43.08,2019-01-03T02:00:00Z,2
43.57,2019-01-03T03:00:00Z,3
47.04,2019-01-03T04:00:00Z,4
45.79,2019-01-03T05:00:00Z,5
51.59,2019-01-03T06:00:00Z,6
59.54,2019-01-03T07:00:00Z,7
46.76,2019-01-03T08:00:00Z,8
38.88,2019-01-03T09:00:00Z,9
30.74,2019-01-03T10:00:00Z,10
28.77,2019-01-03T11:00:00Z,11
27.25,2019-01-03T12:00:00Z,12
25.89,2019-01-03T13:00:00Z,13
25.95,2019-01-03T14:00:00Z,14
33.53,2019-01-03T15:00:00Z,15
46.11,2019-01-03T16:00:00Z,16
53.64,2019-01-03T17:00:00Z,17
72.3,2019-01-03T18:00:00Z,18
65.31,2019-01-03T19:00:00Z,19
64.35,2019-01-03T20:00:00Z,20
61.33,2019-01-03T21:00:00Z,21
49.39,2019-01-03T22:00:00Z,22
44.66,2019-01-03T23:00:00Z,23
39.19,2019-01-04T00:00:00Z,0
36.19,2019-01-04T01:00:00Z,1
35.89,2019-01-04T02:00:00Z,2
35.16,2019-01-04T03:00:00Z,3
36.09,2019-01-04T04:00:00Z,4
38.96,2019-01-04T05:00:00Z,5
49.25,2019-01-04T06:00:00Z,6
65.62,2019-01-04T07:00:00Z,7
55.74,2019-01-04T08:00:00Z,8
35.81,2019-01-04T09:00:00Z,9
32.97,2019-01-04T10:00:00Z,10
29.7,2019-01-04T11:00:00Z,11
29.26,2019-01-04T12:00:00Z,12
28.67,2019-01-04T13:00:00Z,13
24.7,2019-01-04T14:00:00Z,14
29.79,2019-01-04T15:00:00Z,15
42.15,2019-01-04T16:00:00Z,16
45.95,2019-01-04T17:00:00Z,17
56.76,2019-01-04T18:00:00Z,18
52.56,2019-01-04T19:00:00Z,19
55.16,2019-01-04T20:00:00Z,20
55.24,2019-01-04T21:00:00Z,21
44.35,2019-01-04T22:00:00Z,22
40.11,2019-01-04T23:00:00Z,23
37.68,2019-01-05T00:00:00Z,0
36.19,2019-01-05T01:00:00Z,1
38.84,2019-01-05T02:00:00Z,2
39,2019-01-05T03:00:00Z,3
44.53,2019-01-05T04:00:00Z,4
41.3,2019-01-05T05:00:00Z,5
40.71,2019-01-05T06:00:00Z,6
49.37,2019-01-05T07:00:00Z,7
47.79,2019-01-05T08:00:00Z,8
37.85,2019-01-05T09:00:00Z,9
48.43,2019-01-05T10:00:00Z,10
51.14,2019-01-05T11:00:00Z,11
59.69,2019-01-05T12:00:00Z,12
62.16,2019-01-05T13:00:00Z,13
54.02,2019-01-05T14:00:00Z,14
61.47,2019-01-05T15:00:00Z,15
54.35,2019-01-05T16:00:00Z,16
50.02,2019-01-05T17:00:00Z,17
47.15,2019-01-05T18:00:00Z,18
41.94,2019-01-05T19:00:00Z,19
41.56,2019-01-05T20:00:00Z,20
43.31,2019-01-05T21:00:00Z,21
45.32,2019-01-05T22:00:00Z,22
41.26,2019-01-05T23:00:00Z,23
33.41,2019-01-06T00:00:00Z,0
33.41,2019-01-06T01:00:00Z,1
34.44,2019-01-06T02:00:00Z,2
31.01,2019-01-06T03:00:00Z,3
29.2,2019-01-06T04:00:00Z,4
28.79,2019-01-06T05:00:00Z,5
29.68,2019-01-06T06:00:00Z,6
35.7,2019-01-06T07:00:00Z,7
29.65,2019-01-06T08:00:00Z,8
23.51,2019-01-06T09:00:00Z,9
22.73,2019-01-06T10:00:00Z,10
27.48,2019-01-06T11:00:00Z,11
24.64,2019-01-06T12:00:00Z,12
26.42,2019-01-06T13:00:00Z,13
27.56,2019-01-06T14:00:00Z,14
28.92,2019-01-06T15:00:00Z,15
37.11,2019-01-06T16:00:00Z,16
54.64,2019-01-06T17:00:00Z,17
44.85,2019-01-06T18:00:00Z,18
46.21,2019-01-06T19:00:00Z,19
39.34,2019-01-06T20:00:00Z,20
41.4,2019-01-06T21:00:00Z,21
32.91,2019-01-06T22:00:00Z,22
27.99,2019-01-06T23:00:00Z,23
25.65,2019-01-07T00:00:00Z,0
26.31,2019-01-07T01:00:00Z,1
25.62,2019-01-07T02:00:00Z,2
27.14,2019-01-07T03:00:00Z,3
28.5,2019-01-07T04:00:00Z,4
30.94,2019-01-07T05:00:00Z,5
47.61,2019-01-07T06:00:00Z,6
72.41,2019-01-07T07:00:00Z,7
57.43,2019-01-07T08:00:00Z,8
50.92,2019-01-07T09:00:00Z,9
46.74,2019-01-07T10:00:00Z,10
23.8,2019-01-07T11:00:00Z,11
22.52,2019-01-07T12:00:00Z,12
15.88,2019-01-07T13:00:00Z,13
15.99,2019-01-07T14:00:00Z,14
17.63,2019-01-07T15:00:00Z,15
40.21,2019-01-07T16:00:00Z,16
53.28,2019-01-07T17:00:00Z,17
87.16,2019-01-07T18:00:00Z,18
79.31,2019-01-07T19:00:00Z,19
80.35,2019-01-07T20:00:00Z,20
60.6,2019-01-07T21:00:00Z,21
61.89,2019-01-07T22:00:00Z,22
41.32,2019-01-07T23:00:00Z,23
39.04,2019-01-08T00:00:00Z,0
33.17,2019-01-08T01:00:00Z,1
41.23,2019-01-08T02:00:00Z,2
40.83,2019-01-08T03:00:00Z,3
41.31,2019-01-08T04:00:00Z,4
37.73,2019-01-08T05:00:00Z,5
44.91,2019-01-08T06:00:00Z,6
50.04,2019-01-08T07:00:00Z,7
54.99,2019-01-08T08:00:00Z,8
36.21,2019-01-08T09:00:00Z,9
29.1,2019-01-08T10:00:00Z,10
25.58,2019-01-08T11:00:00Z,11
9.42,2019-01-08T12:00:00Z,12
